sno,district,mandal,village,lat_gis,long_gis,gwl,season,Unnamed: 8,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1198,KARIMNAGAR,Regonda,Balmur,19.088631933684088,79.23936321717336,6.226512667365474,Post-monsoon 2020,,8.18,0.0,0.0,11.555418325527974,0.0,0.0,0.2600950259283975,148.20877428197812,0.0,0.0,0.0,60.61189402413329,17.088946608373988,222.10834097144317,0.0,C3S1,-4.341320046181723,P.S.
39,JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,18.898611,78.579444,3.41,Post-monsoon 2020,,7.12,847.0,542.08,0.0,200.0,110.0,0.47,45.69922727,14.25,30.0,3.0,48.0,53.482,339.9095395,0.70747605,C3S1,-2.798190789,P.S.
573,KAMAREDDY,Rajampet,Jagityal,18.221865814618894,79.43642864500099,7.074526887040325,Post-monsoon 2020,,7.26,1088.9086897067623,696.901573341926,34.996752149591956,134.98703132190263,225.7988743913743,0.0,112.84580675777374,0.0,0.0,14.600191384157705,84.88314963334027,81.30667468645883,545.0525299149812,0.0,C3S1,-7.472201000346258,P.S.
4,ADILABAD,Jainath,Jainath,19.730555,78.64,2.1,Post-monsoon 2020,,8.3,433.0,277.12,20.0,130.0,40.0,0.42,15.90413636,7.25,31.0,1.0,16.0,29.172,159.9506579,1.065714421,C2S1,-0.199013158,P.S.
686,MEDAK,Kagaznagar,Machareddy,18.0766745261444,78.7266267812365,6.066297185915593,Post-monsoon 2020,,8.03,1687.9317922864414,1080.276380917071,0.0,514.3115172667354,225.55574222796284,2.085656716098248,0.0,62.459157772759056,131.39594415221694,0.0,73.55365954959613,107.06245659350698,622.4892837533957,1.8358237652789209,C4S1,-2.5274155142611248,P.S.
799,YADADRI,Nandipet,Parigi,16.69309740558303,78.7332302217073,0.0,Post-monsoon 2020,,7.98,3188.489346287962,2040.6331739324064,25.15350407588194,452.83409911032766,612.5653448110199,2.2200508077272048,164.25687440056333,40.981180144069654,235.11595437112268,7.864744341971607,279.02855608163077,93.97702013952093,1083.3960400730366,3.60595521753552,C4S1,-12.156488927164766,P.S.
331,VIKARABAD,Kodangal,Rudraram (S),17.133,77.511,3.72,Post-monsoon 2020,,7.26,650.0,416.0,60.0,150.0,70.0,0.37,20.10766,13.0,58.0,4.75,24.0,34.034,199.9424342,1.783395514,C2S1,0.201151316,P.S.
651,RANGAREDDY,Nakrekal,Morthad,17.124319118571982,80.45822691638146,3.356774721864049,Post-monsoon 2020,,7.99,1973.327632079151,1262.9296930841717,0.0,484.8762494071345,238.5907895216386,1.7495249200245735,192.83452919576422,33.90878014070005,164.2093390050282,26.35708369126769,98.97446770569992,88.34922979011309,608.9144155231418,4.909312373750376,C3S1,-2.5767122729013026,P.S.
951,BHUPALPALLY,Maheswaram,Kukatpally 1,17.087249775574968,78.70193036408376,0.0,Post-monsoon 2020,,7.94,1668.6372645930312,1067.9278349071735,18.14689218551146,221.2422127416072,324.96866891693526,0.0,148.63576304444626,48.81266892019667,132.0402646675171,17.089986505727886,85.73130981239285,71.48609987631463,507.83125218801763,0.9242053921000399,C3S3,-5.335446874908641,P.S.
296,SANGAREDDY,Jinnaram,Ootla,17.6309,78.3194,9.98,Post-monsoon 2020,,7.61,1334.0,853.76,0.0,380.0,190.0,1.63,10.904198,18.0,110.8,3.41,104.0,43.758,439.9259868,2.296794375,C3S1,-1.198519737,P.S.
228,NARAYANPET,Narayanpet,Kollampally,16.667939,77.616892,3.41,Post-monsoon 2020,,8.7,1023.0,654.72,50.0,400.0,50.0,1.72,2.2145,9.25,170.4,3.6,24.0,24.31,159.9588816,5.85784094,C3S1,5.800822368,U.S.
336,VIKARABAD,Pudur,Pudur,17.264,77.957,5.28,Post-monsoon 2020,,8.42,499.0,319.36,50.0,110.0,40.0,0.19,47.3903,3.5,18.0,1.01,40.0,29.172,219.9506579,0.527693854,C2S1,-1.199013158,P.S.
378,YADADRI,Valigonda,Vemulakonda,17.347782,79.143433,1.65,Post-monsoon 2020,,7.76,5053.0,3233.92,0.0,280.0,1360.0,0.44,76.35596,109.0,465.2,3.3,400.0,92.378,1379.84375,5.444987846,C4S1,-21.996875,P.S.
652,MEDAK,Tekulapalli,Amangal,17.31291838077977,77.07670445934164,9.270694738629842,Post-monsoon 2020,,7.44,0.0,0.0,16.927470085841556,286.30799883084353,0.0,0.44062151571284713,0.0,19.576170122243827,0.0,0.0,16.643184058786517,0.0,0.0,1.7090786916218008,C3S1,9.1955780327789,P.S.
660,SURYAPET,Balmur,Kuchinerla,18.04989381726491,78.32767199864483,0.3059350544042845,Post-monsoon 2020,,7.88,1060.0802194249559,678.4513561720149,2.024475304636411,325.40409692648416,44.490839289522484,0.565705457809967,210.72311527216957,0.0,127.98544242463556,26.00435685549095,97.3828046817963,0.0,216.42685876572855,5.569099030646555,C3S1,2.2149957317839903,P.S.
520,KHAMMAM,Gudihatnoor,Nagaram,17.085914648809755,78.75694193902397,4.4661398138348645,Post-monsoon 2020,,7.65,1715.1366873797901,1097.6875354719061,25.794926592967315,224.78501445934867,421.6955634650062,1.5175643565518375,12.958341522656255,0.11922604793180724,130.9030127620207,13.677597973440676,57.7331688874269,106.61024503429294,583.029762907184,3.0726705034931525,C3S1,-6.640893927355414,MR
70,KAMAREDDY,Bhiknoor,Bhiknoor,18.196,78.399,2.11,Post-monsoon 2020,,7.69,1334.0,853.76,0.0,410.0,150.0,0.87,30.47152,16.0,94.0,3.34,120.0,38.896,459.9342105,1.905689585,C3S1,-0.998684211,P.S.
301,SANGAREDDY,Patancheru ,Patancheruvu,17.525833,78.270166,13.7,Post-monsoon 2020,,7.74,983.0,629.12,0.0,350.0,70.0,1.37,12.26833,11.0,56.37,5.29,104.0,24.31,359.9588816,1.291795454,C3S1,-0.199177632,P.S.
912,NALGONDA,Manuguru,Gurrampode,18.154738059204234,79.64535383074666,2.16891698090723,Post-monsoon 2020,,8.19,2804.810769867774,1795.078897009749,2.1855007591492615,249.80384114482285,630.0937090114991,0.0,155.59221443247804,43.23599503689011,316.55490817666015,6.603731410567426,121.87052861547352,85.8378492513267,657.6520127070268,4.870719944936086,C3S1,-8.055697920287516,P.S.
356,WARANGAL (R) ,Sangem,Sangem,17.8844,79.7113,3.43,Post-monsoon 2020,,7.96,1367.0,874.88,0.0,190.0,320.0,0.46,18.52127273,29.25,132.0,2.0,40.0,72.93,399.8766447,2.87000779,C3S1,-4.197532895,P.S.
655,KUMURAM BHEEM,Nawabpet,Manchippa,18.372148453535324,77.83045313504894,2.7900419880395164,Post-monsoon 2020,,8.31,0.0,0.0,8.546372499207195,297.863700321518,0.0,1.2580140453530955,0.0,0.0,0.0,0.0,145.05494742898554,0.0,24.353570618133745,0.0,C3S1,5.646106741696178,P.S.
904,KAMAREDDY,Julurpadu,Bijinepalli,16.981360926638217,78.85062038156669,10.290547503360697,Post-monsoon 2020,,8.7,2965.989186548436,1898.233064867544,3.9745909768410224,407.32801530800384,566.9844279395274,1.1289841804075693,181.72262121156066,100.18525945108757,353.0947996064558,28.052312497737493,138.64228415652633,82.58969491050075,686.6081395428956,6.850488837712636,C4S1,-5.451562159757728,MR
928,VIKARABAD,Pudur,Vailpoor,17.052213059780474,78.76487041950654,2.4939699443401047,Post-monsoon 2020,,9.04,934.6134361001752,598.1525900799559,0.0,74.80612807712936,201.96608346116653,0.8365474159624915,147.86893059258367,6.681200047331103,0.0,10.756020424094912,88.36120716110196,57.350396446312864,455.8332438752071,0.0,C3S1,-7.894393067242493,P.S.
349,WARANGAL (R) ,Duggondi,Duggondi,18.0194,79.8077,0.78,Post-monsoon 2020,,8.29,733.0,469.12,0.0,160.0,120.0,0.32,32.41222727,14.75,60.0,2.0,16.0,48.62,239.9177632,1.684194375,C2S1,-1.598355263,P.S.
483,KUMURAM BHEEM,Kukatpally,Narasampet,16.987703634788875,77.82895460710077,2.1630128581941026,Post-monsoon 2020,,8,737.8630471890923,472.2323378733126,13.074138797574712,416.97954271634006,0.0,1.933953755044617,13.868190018467018,44.80687675667243,99.31098031871699,21.794350727327974,32.782160970690164,24.21948271731303,180.65807258669767,3.9168605246754655,C2S1,4.925492178420475,P.S.
290,RANGAREDDY,Talakondapalli,Talakondapalli,16.89,78.413,12.48,Post-monsoon 2020,,7.3,2789.0,1784.96,0.0,310.0,450.0,0.8,461.0,30.5,75.25,3.6,272.0,126.412,1199.786184,0.944553888,C4S1,-17.79572368,P.S.
